Quarter,Year,Company_Name,Ticker,SharePrice_USD,Expenses_B_USD,Revenue_B_USD,CashFlow_B_USD,DividendYield_Percent,US_Unemployment_Percent,Brent_USD,LNG_USD,US_Interest_Percent
1,2005,Exxon,XOM,56,61.76,82.05,10.26,0.0027,0.053,48,9.89,0.0247
1,2005,BP,BP,62,47.08,55.51,6.52,0.0051,0.053,48,9.89,0.0247
1,2005,Equinor,EQNR,17,9.96,13.35,1.73,0.0000,0.053,48,9.89,0.0247
1,2005,Chevron,CVX,57,34.46,41.61,2.44,0.0040,0.053,48,9.89,0.0247
1,2005,Shell,RDS-A,63,62.36,72.16,5.16,0.0000,0.053,48,9.89,0.0247
1,2005,Total,TOT,56,26.66,34.58,3.27,0.0000,0.053,48,9.89,0.0247
2,2005,Exxon,XOM,58,67.85,88.57,5.28,0.0029,0.052,52,9.24,0.0294
2,2005,BP,BP,62,50.76,59.27,3.86,0.0051,0.052,52,9.24,0.0294
2,2005,Equinor,EQNR,18,10.88,14.23,-0.15,0.0051,0.052,52,9.24,0.0294
2,2005,Chevron,CVX,55,39.60,45.19,2.44,0.0045,0.052,52,9.24,0.0294
2,2005,Shell,RDS-A,63,73.63,82.64,3.17,0.0000,0.052,52,9.24,0.0294
2,2005,Total,TOT,57,26.59,33.62,0.64,0.0196,0.052,52,9.24,0.0294
3,2005,Exxon,XOM,61,76.26,100.72,12.28,0.0029,0.050,62,19.14,0.0346
3,2005,BP,BP,68,57.84,67.99,3.30,0.0054,0.050,62,19.14,0.0346
3,2005,Equinor,EQNR,23,12.40,16.01,1.46,0.0000,0.050,62,19.14,0.0346
3,2005,Chevron,CVX,61,45.35,52.19,3.19,0.0045,0.050,62,19.14,0.0346
3,2005,Shell,RDS-A,67,65.85,76.44,-3.47,0.0055,0.050,62,19.14,0.0346
3,2005,Total,TOT,65,31.12,39.91,3.09,0.0000,0.050,62,19.14,0.0346
4,2005,Exxon,XOM,58,73.34,99.34,6.49,0.0029,0.050,57,12.4,0.0398
4,2005,BP,BP,66,57.84,67.99,0.76,0.0054,0.050,57,12.4,0.0398
4,2005,Equinor,EQNR,23,10.93,14.75,0.64,0.0000,0.050,57,12.4,0.0398
4,2005,Chevron,CVX,59,44.29,60.34,2.77,0.0045,0.050,57,12.4,0.0398
